index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
1,League,Andre Russell,Eden Gardens,SRH,KKR,Kolkata Knight Riders,field,KKR,6.0,wicket,181.0,2019,"['2nd', 'Match']"
2,League,Rishabh Pant,Wankhede,DC,MI,Mumbai Indians,field,DC,37.0,runs,213.0,2019,"['3rd', 'Match']"
3,League,Chris Gayle,Jaipur,KXIP,RR,Rajasthan Royals,field,Kings,14.0,runs,184.0,2019,"['4th', 'Match']"
4,League,Shane Watson,Delhi,DC,CSK,Delhi Capitals,bat,CSK,6.0,wicket,147.0,2019,"['5th', 'Match']"
5,League,Andre Russell,Eden Gardens,KKR,KXIP,Kings XI Punjab,field,KKR,28.0,runs,218.0,2019,"['6th', 'Match']"
6,League,Jasprit Bumrah,Bengaluru,MI,RCB,Royal Challengers Bangalore,field,MI,6.0,runs,187.0,2019,"['7th', 'Match']"
7,League,Rashid Khan,Hyderabad,RR,SRH,Rajasthan Royals,bat,SRH,5.0,wicket,198.0,2019,"['8th', 'Match']"
8,League,Mayank Agarawal,Mohali,MI,KXIP,Kings XI Punjab,field,Kings,8.0,wicket,176.0,2019,"['9th', 'Match']"
9,League,Prithvi Shaw,Delhi,KKR,DC,Delhi Capitals,field,DC,0.0,runs,185.0,2019,"['10th', 'Match']"
10,League,Jonny Bairstow,Hyderabad,SRH,RCB,Royal Challengers Bangalore,field,SRH,118.0,runs,231.0,2019,"['11th', 'Match']"
11,League,MS Dhoni,Chennai,CSK,RR,Rajasthan Royals,field,CSK,8.0,runs,175.0,2019,"['12th', 'Match']"
12,League,Sam Curran,Mohali,KXIP,DC,Delhi Capitals,field,Kings,14.0,runs,166.0,2019,"['13th', 'Match']"
13,League,Shreyas Gopal,Jaipur,RCB,RR,Rajasthan Royals,field,RR,7.0,wicket,158.0,2019,"['14th', 'Match']"
14,League,Hardik Pandya,Wankhede,MI,CSK,Chennai Super Kings,field,MI,37.0,runs,170.0,2019,"['15th', 'Match']"
15,League,Jonny Bairstow,Delhi,DC,SRH,Sunrisers Hyderabad,field,SRH,5.0,wicket,129.0,2019,"['16th', 'Match']"
16,League,Andre Russell,Bengaluru,RCB,KKR,Kolkata Knight Riders,field,KKR,5.0,wicket,205.0,2019,"['17th', 'Match']"
17,League,Harbhajan Singh,Chennai,CSK,KXIP,Chennai Super Kings,bat,CSK,22.0,runs,160.0,2019,"['18th', 'Match']"
18,League,Alzarri Joseph,Hyderabad,MI,SRH,Sunrisers Hyderabad,field,MI,40.0,runs,136.0,2019,"['19th', 'Match']"
19,League,Kagiso Rabada,Bengaluru,RCB,DC,Delhi Capitals,field,DC,4.0,wicket,149.0,2019,"['20th', 'Match']"
20,League,Harry Gurney,Jaipur,RR,KKR,Kolkata Knight Riders,field,KKR,8.0,wicket,139.0,2019,"['21st', 'Match']"
21,League,KL Rahul,Mohali,SRH,KXIP,Kings XI Punjab,field,Kings,6.0,wicket,150.0,2019,"['22nd', 'Match']"
22,League,Deepak Chahar,Chennai,KKR,CSK,Chennai Super Kings,field,CSK,7.0,wicket,108.0,2019,"['23rd', 'Match']"
23,League,Kieron Pollard,Wankhede,KXIP,MI,Mumbai Indians,field,MI,3.0,wicket,197.0,2019,"['24th', 'Match']"
24,League,MS Dhoni,Jaipur,RR,CSK,Chennai Super Kings,field,CSK,4.0,wicket,151.0,2019,"['25th', 'Match']"
25,League,Shikhar Dhawan,Eden Gardens,KKR,DC,Delhi Capitals,field,DC,7.0,wicket,178.0,2019,"['26th', 'Match']"
26,League,Jos Buttler,Wankhede,MI,RR,Rajasthan Royals,field,RR,4.0,wicket,187.0,2019,"['27th', 'Match']"
27,League,AB de Villiers,Mohali,KXIP,RCB,Royal Challengers Bangalore,field,RCB,8.0,wicket,173.0,2019,"['28th', 'Match']"
28,League,Imran Tahir,Eden Gardens,KKR,CSK,Chennai Super Kings,field,CSK,5.0,wicket,161.0,2019,"['29th', 'Match']"
29,League,Keemo Paul,Hyderabad,DC,SRH,Sunrisers Hyderabad,field,DC,39.0,runs,155.0,2019,"['30th', 'Match']"
30,League,Lasith Malinga,Wankhede,RCB,MI,Mumbai Indians,field,MI,5.0,wicket,171.0,2019,"['31st', 'Match']"
31,League,Ravichandran Ashwin,Mohali,KXIP,RR,Rajasthan Royals,field,Kings,12.0,runs,182.0,2019,"['32nd', 'Match']"
32,League,David Warner,Hyderabad,CSK,SRH,Chennai Super Kings,bat,SRH,6.0,wicket,132.0,2019,"['33rd', 'Match']"
33,League,Hardik Pandya,Delhi,MI,DC,Mumbai Indians,bat,MI,40.0,runs,168.0,2019,"['34th', 'Match']"
34,League,Virat Kohli,Eden Gardens,RCB,KKR,Kolkata Knight Riders,field,RCB,10.0,runs,213.0,2019,"['35th', 'Match']"
35,League,Steven Smith,Jaipur,MI,RR,Rajasthan Royals,field,RR,5.0,wicket,161.0,2019,"['36th', 'Match']"
36,League,Shreyas Iyer,Delhi,KXIP,DC,Delhi Capitals,field,DC,5.0,wicket,163.0,2019,"['37th', 'Match']"
37,League,Khaleel Ahmed,Hyderabad,KKR,SRH,Sunrisers Hyderabad,field,SRH,9.0,wicket,159.0,2019,"['38th', 'Match']"
38,League,Parthiv Patel,Bengaluru,RCB,CSK,Chennai Super Kings,field,RCB,1.0,runs,161.0,2019,"['39th', 'Match']"
39,League,Rishabh Pant,Jaipur,RR,DC,Delhi Capitals,field,DC,6.0,wicket,191.0,2019,"['40th', 'Match']"
40,League,Shane Watson,Chennai,SRH,CSK,Chennai Super Kings,field,CSK,6.0,wicket,175.0,2019,"['41st', 'Match']"
41,League,AB de Villiers,Bengaluru,RCB,KXIP,Kings XI Punjab,field,RCB,17.0,runs,202.0,2019,"['42nd', 'Match']"
