Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
League,Jean-Paul Duminy,East London,MI,KKR,Mumbai Indians,bat,MI,9,runs,148,2009,"['23rd', 'match,']"
League,Yuvraj Singh,Durban,RCB,KXIP,Royal Challengers Bangalore,bat,RCB,8,runs,145,2009,"['24th', 'match']"
League,Yusuf Pathan,Gqeberha,DCH,RR,Deccan Chargers,bat,RR,3,wicket,141,2009,"['25th', 'match,']"
League,Shadab Jakati,Johannesburg,CSK,DC,Delhi Daredevils,field,CSK,18,runs,163,2009,"['26th', 'match']"
League,Mahela Jayawardene,Gqeberha,KKR,KXIP,Kolkata Knight Riders,bat,Kings,6,wicket,153,2009,"['27th', 'match,']"
League,Jacques Kallis,Johannesburg,MI,RCB,Mumbai Indians,bat,RCB,9,wicket,149,2009,"['28th', 'match']"
League,MS Dhoni,East London,CSK,DCH,Chennai Super Kings,bat,CSK,78,runs,178,2009,"['29th', 'match']"
League,Graeme Smith,Durban,RR,KXIP,Kings XI Punjab,field,RR,78,runs,211,2009,"['30th', 'match,']"
League,Gautam Gambhir,Durban,KKR,DC,Kolkata Knight Riders,bat,Daredevils,9,wicket,154,2009,"['31st', 'match']"
League,Rohit Sharma,Centurion,DCH,MI,Deccan Chargers,bat,Chargers,19,runs,145,2009,"['32nd', 'match']"
League,Amit Singh,Centurion,RCB,RR,Rajasthan Royals,field,RR,7,wicket,105,2009,"['33rd', 'match,']"
League,Matthew Hayden,Centurion,CSK,KXIP,Chennai Super Kings,bat,CSK,12,runs,185,2009,"['34th', 'match']"
League,Ashish Nehra,East London,MI,DC,Mumbai Indians,bat,Daredevils,7,wicket,116,2009,"['35th', 'match']"
League,Mahela Jayawardene,Kimberley,DCH,KXIP,Kings XI Punjab,field,Kings,3,wicket,168,2009,"['36th', 'match,']"
League,S Badrinath,Kimberley,RR,CSK,Rajasthan Royals,bat,CSK,7,wicket,140,2009,"['37th', 'match']"
League,Jean-Paul Duminy,Gqeberha,MI,RCB,Mumbai Indians,bat,MI,16,runs,157,2009,"['38th', 'match,']"
League,Amit Mishra,Johannesburg,KKR,DC,Delhi Daredevils,field,Daredevils,7,wicket,123,2009,"['39th', 'match']"
League,Dwayne Smith,Kimberley,DCH,RR,Deccan Chargers,bat,Chargers,53,runs,166,2009,"['40th', 'match']"
League,Ross Taylor,Centurion,KKR,RCB,Royal Challengers Bangalore,field,RCB,6,wicket,173,2009,"['41st', 'match,']"
League,Harbhajan Singh,Centurion,KXIP,MI,Kings XI Punjab,bat,MI,8,wicket,119,2009,"['42nd', 'match']"
League,Rajat Bhatia,Durban,DC,DCH,Deccan Chargers,field,Daredevils,12,runs,173,2009,"['43rd', 'match']"
League,Ross Taylor,Durban,CSK,RCB,Chennai Super Kings,bat,RCB,2,wicket,129,2009,"['44th', 'match,']"
League,Shane Warne,Durban,RR,MI,Rajasthan Royals,bat,RR,2,runs,145,2009,"['45th', 'match']"
League,Brett Lee,Bloemfontein,DC,KXIP,Kings XI Punjab,field,Kings,6,wicket,120,2009,"['46th', 'match']"
League,Matthew Hayden,Gqeberha,MI,CSK,Mumbai Indians,bat,CSK,7,wicket,147,2009,"['47th', 'match,']"
League,Rohit Sharma,Johannesburg,KKR,DCH,Deccan Chargers,field,Chargers,6,wicket,160,2009,"['48th', 'match']"
League,Yuvraj Singh,Johannesburg,KXIP,DCH,Deccan Chargers,field,Kings,1,runs,134,2009,"['49th', 'match,']"
League,AB de Villiers,Bloemfontein,DC,RR,Delhi Daredevils,bat,Daredevils,14,runs,150,2009,"['50th', 'match']"
League,Brad Hodge,Centurion,CSK,KKR,Chennai Super Kings,bat,KKR,7,wicket,188,2009,"['51st', 'match']"
League,Jacques Kallis,Johannesburg,DC,RCB,Delhi Daredevils,bat,RCB,7,wicket,134,2009,"['52nd', 'match']"
League,Laxmi Shukla,Durban,RR,KKR,Kolkata Knight Riders,field,KKR,4,wicket,101,2009,"['53rd', 'match,']"
League,Muthiah Muralidaran,Durban,CSK,KXIP,Chennai Super Kings,bat,CSK,24,runs,116,2009,"['54th', 'match']"
League,Virender Sehwag,Centurion,MI,DC,Delhi Daredevils,field,Daredevils,4,wicket,165,2009,"['55th', 'match,']"
League,Manish Pandey,Centurion,RCB,DCH,Royal Challengers Bangalore,bat,RCB,12,runs,170,2009,"['56th', 'match']"
Final,Adam Gilchrist,Centurion,DC,DCH,Deccan Chargers,field,Chargers,6,wicket,153,2009,SemiFinal_1
Final,Manish Pandey,Johannesburg,CSK,RCB,Royal Challengers Bangalore,field,RCB,6,wicket,146,2009,SemiFinal_2
Final,Andrew Symonds,Johannesburg,DCH,RCB,Royal Challengers Bangalore,field,Chargers,6,runs,143,2009,Final
League,Angelo Mathews,DY Patil,KKR,DCH,Deccan Chargers,field,KKR,11,runs,161,2010,"['1st', 'match']"
League,Yusuf Pathan,Brabourne,MI,RR,Mumbai Indians,bat,MI,4,runs,212,2010,"['2nd', 'match']"
League,Gautam Gambhir,Mohali,KXIP,DC,Delhi Daredevils,field,Daredevils,5,wicket,142,2010,"['3rd', 'match']"
League,Manoj Tiwary,Eden Gardens,RCB,KKR,Kolkata Knight Riders,field,KKR,7,wicket,135,2010,"['4th', 'match']"
League,Chaminda Vaas,Chennai,DCH,CSK,Deccan Chargers,bat,Chargers,31,runs,190,2010,"['5th', 'match']"
League,Virender Sehwag,Ahmedabad,RR,DC,Delhi Daredevils,field,Daredevils,6,wicket,141,2010,"['6th', 'match']"
League,Jacques Kallis,Bengaluru,KXIP,RCB,Kings XI Punjab,bat,RCB,8,wicket,203,2010,"['7th', 'match']"
League,MS Dhoni,Eden Gardens,CSK,KKR,Chennai Super Kings,bat,CSK,55,runs,164,2010,"['8th', 'match']"
League,Sachin Tendulkar,Delhi,MI,DC,Delhi Daredevils,field,MI,98,runs,218,2010,"['9th', 'match']"
League,Jacques Kallis,Bengaluru,RR,RCB,Royal Challengers Bangalore,field,RCB,10,wicket,92,2010,"['10th', 'match']"
League,Matthew Hayden,Delhi,DC,CSK,Delhi Daredevils,bat,CSK,5,wicket,185,2010,"['11th', 'match']"
League,Andrew Symonds,Cuttack,DCH,KXIP,Kings XI Punjab,field,Chargers,6,runs,170,2010,"['12th', 'match']"
League,Abhishek Jhunjhunwala,Ahmedabad,RR,KKR,Rajasthan Royals,bat,RR,34,runs,168,2010,"['13th', 'match']"
League,Jacques Kallis,Brabourne,MI,RCB,Mumbai Indians,bat,RCB,7,wicket,151,2010,"['14th', 'match']"
League,Andrew Symonds,Cuttack,DCH,DC,Deccan Chargers,bat,Chargers,10,runs,171,2010,"['15th', 'match']"
League,Rusty Theron,Chennai,KXIP,CSK,Chennai Super Kings,field,KXIP,0,runs,136,2010,"['16th', 'match']"
League,Sachin Tendulkar,Brabourne,KKR,MI,Kolkata Knight Riders,bat,MI,7,wicket,155,2010,"['17th', 'match']"
League,Robin Uthappa,Bengaluru,RCB,CSK,Chennai Super Kings,field,RCB,36,runs,171,2010,"['18th', 'match']"
League,Adam Voges,Mohali,RR,KXIP,Kings XI Punjab,field,KXIP,0,runs,136,2010,"['19th', 'match']"
League,Kedar Jadhav,Bengaluru,DC,RCB,Royal Challengers Bangalore,field,Daredevils,17,runs,183,2010,"['20th', 'match']"
League,Sachin Tendulkar,Brabourne,CSK,MI,Mumbai Indians,field,MI,5,wicket,180,2010,"['21st', 'match']"
League,Yusuf Pathan,Ahmedabad,DCH,RR,Deccan Chargers,bat,RR,8,wicket,148,2010,"['22nd', 'match']"
League,Manoj Tiwary,Mohali,KKR,KXIP,Kolkata Knight Riders,bat,KKR,39,runs,183,2010,"['23rd', 'match']"
League,Naman Ojha,Ahmedabad,RR,CSK,Rajasthan Royals,bat,RR,17,runs,177,2010,"['24th', 'match']"
League,Harbhajan Singh,DY Patil,MI,DCH,Deccan Chargers,field,MI,41,runs,172,2010,"['25th', 'match']"
League,David Warner,Delhi,DC,KKR,Delhi Daredevils,bat,Daredevils,40,runs,177,2010,"['26th', 'match']"
League,Lasith Malinga,Brabourne,KXIP,MI,Mumbai Indians,field,MI,4,wicket,163,2010,"['27th', 'match']"
League,Murali Vijay,Chennai,RCB,CSK,Royal Challengers Bangalore,bat,CSK,5,wicket,161,2010,"['28th', 'match']"
League,Dinesh Karthik,Delhi,DC,RR,Delhi Daredevils,bat,Daredevils,67,runs,188,2010,"['29th', 'match']"
League,Sourav Ganguly,Eden Gardens,KKR,DCH,Kolkata Knight Riders,bat,KKR,24,runs,181,2010,"['30th', 'match']"
League,Kevin Pietersen,Mohali,KXIP,RCB,Kings XI Punjab,bat,RCB,6,wicket,181,2010,"['31st', 'match']"
League,Murali Vijay,Chennai,CSK,RR,Chennai Super Kings,bat,CSK,23,runs,246,2010,"['32nd', 'match']"
League,Ambati Rayudu,Brabourne,MI,DCH,Mumbai Indians,bat,MI,63,runs,178,2010,"['33rd', 'match']"
League,Mahela Jayawardene,Eden Gardens,KKR,KXIP,Kolkata Knight Riders,bat,Kings,8,wicket,200,2010,"['34th', 'match']"
League,Paul Collingwood,Delhi,DC,RCB,Delhi Daredevils,bat,Daredevils,37,runs,184,2010,"['35th', 'match']"
League,Shane Warne,Nagpur,RR,DCH,Rajasthan Royals,bat,RR,2,runs,159,2010,"['36th', 'match']"
League,Suresh Raina,Chennai,CSK,MI,Chennai Super Kings,bat,CSK,24,runs,165,2010,"['37th', 'match']"
League,Michael Lumb,Jaipur,KXIP,RR,Kings XI Punjab,bat,RR,9,wicket,153,2010,"['38th', 'match']"
League,Sourav Ganguly,Eden Gardens,KKR,DC,Kolkata Knight Riders,bat,KKR,14,runs,181,2010,"['39th', 'match']"
League,Tirumalasetti Suman,Bengaluru,RCB,DCH,Deccan Chargers,field,Chargers,7,wicket,184,2010,"['40th', 'match']"
League,Kumar Sangakkara,Mohali,MI,KXIP,Mumbai Indians,bat,Kings,6,wicket,154,2010,"['41st', 'match']"
League,Ryan Harris,Nagpur,CSK,DCH,Chennai Super Kings,bat,Chargers,6,wicket,138,2010,"['42nd', 'match']"
League,Vinay Kumar,Bengaluru,KKR,RCB,Royal Challengers Bangalore,field,RCB,7,wicket,160,2010,"['43rd', 'match']"
League,Piyush Chawla,Delhi,DC,KXIP,Delhi Daredevils,bat,Kings,7,wicket,111,2010,"['44th', 'match']"
League,Sachin Tendulkar,Jaipur,MI,RR,Rajasthan Royals,field,MI,37,runs,174,2010,"['45th', 'match']"
League,Harmeet Singh,Nagpur,DCH,RCB,Royal Challengers Bangalore,field,Chargers,13,runs,151,2010,"['46th', 'match']"
League,Kieron Pollard,Brabourne,MI,DC,Mumbai Indians,bat,MI,39,runs,183,2010,"['47th', 'match']"
League,Ravichandran Ashwin,Chennai,KKR,CSK,Kolkata Knight Riders,bat,CSK,9,wicket,139,2010,"['48th', 'match']"
League,Kevin Pietersen,Jaipur,RR,RCB,Rajasthan Royals,bat,RCB,5,wicket,130,2010,"['49th', 'match']"
League,Gautam Gambhir,Chennai,CSK,DC,Chennai Super Kings,bat,Daredevils,6,wicket,112,2010,"['50th', 'match']"
League,Rohit Sharma,Dharamsala,KXIP,DCH,Deccan Chargers,field,Chargers,5,wicket,174,2010,"['51st', 'match']"
League,Ryan McLaren,Bengaluru,MI,RCB,Royal Challengers Bangalore,field,MI,57,runs,191,2010,"['52nd', 'match']"
League,Jaydev Unadkat,Eden Gardens,RR,KKR,Rajasthan Royals,bat,KKR,8,wicket,132,2010,"['53rd', 'match']"
League,MS Dhoni,Dharamsala,KXIP,CSK,Chennai Super Kings,field,CSK,6,wicket,192,2010,"['54th', 'match']"
League,Andrew Symonds,Delhi,DCH,DC,Deccan Chargers,bat,Chargers,11,runs,145,2010,"['55th', 'match']"
League,Murali Kartik,Eden Gardens,MI,KKR,Mumbai Indians,bat,KKR,9,wicket,133,2010,"['56th', 'match']"
