Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Devon Conway, Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Bat_First,Punjab Kings,4 Wickets,Wickets,201,41,2023
League,Yashasvi Jaiswal, Wankhede,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat_First,Mumbai Indians,6 Wickets,Wickets,213,42,2023
League,Faf du Plessis, Lucknow,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,Bat_First,Royal Challengers Bangalore,18 Runs,Runs,127,43,2023
League,Mohammed Shami, Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals,Bat_First,Delhi Capitals,5 Runs,Runs,131,44,2023
League,Ishan Kishan, Mohali,Punjab Kings,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,6 Wickets,Wickets,215,45,2023
League,Varun Chakravarthy, Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat_First,Kolkata Knight Riders,5 Runs,Runs,172,46,2023
League,Rashid Khan, Jaipur,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Bat_First,Gujarat Titans,9 Wickets,Wickets,119,47,2023
League,Matheesha Pathirana, Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field_First,Chennai Super Kings,6 Wickets,Wickets,140,48,2023
League,Phil Salt, Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Bat_First,Delhi Capitals,7 Wickets,Wickets,182,49,2023
League,Shubman Gill, Ahmedabad,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Field_First,Gujarat Titans,56 Runs,Runs,228,50,2023
League,Glenn Phillips, Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat_First,Sunrisers Hyderabad,4 Wickets,Wickets,215,51,2023
League,Andre Russell, Eden Gardens,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Bat_First,Kolkata Knight Riders,5 Wickets,Wickets,180,52,2023
League,Suryakumar Yadav, Wankhede,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,6 Wickets,Wickets,200,53,2023
League,Ravindra Jadeja, Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Bat_First,Chennai Super Kings,27 Runs,Runs,168,54,2023
League,Yashasvi Jaiswal, Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,9 Wickets,Wickets,150,55,2023
League,Suryakumar Yadav, Wankhede,Mumbai Indians,Gujarat Titans,Gujarat Titans,Field_First,Mumbai Indians,27 Runs,Runs,219,56,2023
League,Prerak Mankad, Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Bat_First,Lucknow Super Giants,7 Wickets,Wickets,183,57,2023
League,Prabhsimran Singh, Delhi,Punjab Kings,Delhi Capitals,Delhi Capitals,Field_First,Punjab Kings,31 Runs,Runs,168,58,2023
League,Wayne Parnell, Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat_First,Royal Challengers Bangalore,112 Runs,Runs,172,59,2023
